STOCK_CODES,PRODUCT,DATE,Wk,Week_Number,SOH,FLOORS,WEEKLY SALES,AVG_WK_SALES ,Range,Loft_Category,Group 1,Group 2
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,28-Jul,9,31,0,0,2,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,28-Jul,9,31,0,9,0,0.58,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,28-Jul,9,31,0,18,0,1.67,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,28-Jul,9,31,0,14,0,2.17,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,28-Jul,9,31,0,11,3,4.33,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,28-Jul,9,31,0,0,1,1.83,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,28-Jul,9,31,0,0,0,0.75,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,28-Jul,9,31,0,0,2,2.2,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,28-Jul,9,31,0,0,1,0.67,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,28-Jul,9,31,0,0,0,0.25,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,28-Jul,9,31,0,13,3,2.42,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,28-Jul,9,31,0,19,2,1.5,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,28-Jul,9,31,2,15,0,0.83,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,28-Jul,9,31,0,11,0,4.33,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,28-Jul,9,31,0,0,0,0.08,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,28-Jul,9,31,0,2,2,4.25,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,20-Jul,8,30,15,18,0,4.4,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,20-Jul,8,30,2,12,0,1.42,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,20-Jul,8,30,0,5,0,0.92,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,20-Jul,8,30,5,4,0,1.67,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,20-Jul,8,30,21,6,0,0.67,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,20-Jul,8,30,5,8,0,0.75,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,20-Jul,8,30,0,17,3,8.08,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,20-Jul,8,30,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,20-Jul,8,30,0,0,1,0,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,20-Jul,8,30,105,23,20,25.25,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,20-Jul,8,30,117,25,3,10.42,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,20-Jul,8,30,0,0,0,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,20-Jul,8,30,3,9,0,0.58,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,20-Jul,8,30,0,18,2,1.75,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,20-Jul,8,30,0,15,0,2.33,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,20-Jul,8,30,0,11,2,4.33,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,20-Jul,8,30,0,0,-1,1.83,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,20-Jul,8,30,0,0,1,0.83,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,20-Jul,8,30,0,14,-2,2.17,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,20-Jul,8,30,0,0,-1,0.58,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,20-Jul,8,30,0,0,0,0.25,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,20-Jul,8,30,0,7,2,2.17,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,20-Jul,8,30,0,19,0,1.33,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,20-Jul,8,30,6,15,2,0.92,Marwan,ETU,ENTU,ENTU
